final_rank,issued_time,n_pairs,mean_lead_hours,mae,rmse,bias,pearson_r,csi,rank_mae,rank_csi,composite_rank
1,2026:02:12T12:00:00,115,72.0,1.2904,7.0272,-0.8104,0.2036,0.2778,10,1,5.5
2,2026:02:18T12:00:00,119,59.0,1.279,3.9136,-0.1597,0.3544,0.2444,9,3,6.0
3,2026:02:14T00:00:00,125,72.2,1.1928,6.6978,-0.8504,0.3359,0.2222,8,6,7.0
4,2026:02:16T00:00:00,136,70.5,1.3007,4.2257,-0.364,0.0616,0.2264,11,5,8.0
5,2026:02:20T00:00:00,83,41.0,0.8325,2.2586,0.2892,0.0629,0.1935,7,9,8.0
6,2026:02:19T00:00:00,107,53.0,1.3237,4.0651,-0.3738,0.2771,0.2222,12,7,9.5
7,2026:02:16T12:00:00,139,69.0,1.3914,4.379,-0.2331,0.0857,0.2037,14,8,11.0
8,2026:02:21T00:00:00,59,29.0,0.7983,2.1687,0.2661,0.0493,0.1364,6,16,11.0
9,2026:02:19T12:00:00,95,47.0,1.5021,4.76,-0.1505,-0.0384,0.25,22,2,12.0
10,2026:02:10T12:00:00,115,62.0,1.6122,7.0017,-0.0017,0.2913,0.2308,25,4,14.5
11,2026:02:21T12:00:00,47,23.0,0.2447,0.9677,-0.1638,-0.0706,0.0,1,28,14.5
12,2026:02:22T12:00:00,23,11.0,0.7209,1.6035,0.1,-0.0919,0.1,5,24,14.5
13,2026:02:15T12:00:00,130,73.1,1.4394,4.5172,-0.3023,-0.0007,0.1923,20,10,15.0
14,2026:02:20T12:00:00,71,35.0,0.6493,1.8377,0.162,-0.0351,0.087,4,26,15.0
15,2026:02:22T00:00:00,35,17.0,0.3714,1.1487,-0.0743,0.1179,0.0769,3,27,15.0
16,2026:02:23T00:00:00,11,5.0,0.3109,0.9658,0.3091,,0.0,2,29,15.5
17,2026:02:13T00:00:00,115,74.5,1.4365,7.1428,-0.1687,0.1219,0.1538,19,13,16.0
18,2026:02:15T00:00:00,125,74.9,1.4128,4.9216,-0.4992,-0.0384,0.1333,16,17,16.5
19,2026:02:11T00:00:00,115,64.5,1.48,7.3621,-0.3496,0.076,0.1515,21,14,17.5
20,2026:02:11T12:00:00,115,67.0,1.3979,7.2428,-0.3569,0.0079,0.1176,15,20,17.5
21,2026:02:17T12:00:00,139,69.0,1.605,4.8088,-0.0813,0.0122,0.1754,24,11,17.5
22,2026:02:13T12:00:00,120,73.6,1.34,7.4093,-0.7833,-0.0195,0.1034,13,23,18.0
23,2026:02:17T00:00:00,139,69.0,1.4318,4.4669,-0.4086,-0.044,0.127,18,18,18.0
24,2026:02:18T00:00:00,131,65.0,1.9405,4.6635,0.6336,0.3085,0.169,27,12,19.5
25,2026:02:12T00:00:00,115,69.5,1.427,7.4322,-0.387,-0.0275,0.0938,17,25,21.0
26,2026:02:14T12:00:00,125,73.5,1.552,4.8914,-0.2976,-0.0338,0.122,23,19,21.0
27,2026:02:09T00:00:00,129,66.0,1.9865,8.4686,0.1481,0.0043,0.1429,28,15,21.5
28,2026:02:09T12:00:00,128,66.3,1.7078,7.6055,-0.0406,-0.031,0.1071,26,21,23.5
29,2026:02:10T00:00:00,121,63.6,2.0876,7.6586,0.443,0.1923,0.1071,29,22,25.5
