issued_time,n_pairs,hits,misses,false_alarms,correct_negatives,pod,far,csi,accuracy,bias_score
2026:02:09T00:00:00,25,2,1,7,15,0.6667,0.7778,0.2,0.68,3.0
2026:02:09T12:00:00,25,1,0,5,19,1.0,0.8333,0.1667,0.8,6.0
2026:02:10T00:00:00,25,1,1,4,19,0.5,0.8,0.1667,0.8,2.5
2026:02:10T12:00:00,25,1,1,6,17,0.5,0.8571,0.125,0.72,3.5
2026:02:11T00:00:00,25,1,0,8,16,1.0,0.8889,0.1111,0.68,9.0
2026:02:11T12:00:00,25,2,0,8,15,1.0,0.8,0.2,0.68,5.0
2026:02:12T00:00:00,25,1,3,8,13,0.25,0.8889,0.0833,0.56,2.25
2026:02:12T12:00:00,20,1,2,2,15,0.3333,0.6667,0.2,0.8,1.0
2026:02:13T00:00:00,15,0,0,4,11,,1.0,0.0,0.7333,
2026:02:13T12:00:00,20,1,1,6,12,0.5,0.8571,0.125,0.65,3.5
2026:02:14T00:00:00,25,2,0,8,15,1.0,0.8,0.2,0.68,5.0
2026:02:14T12:00:00,20,0,0,1,19,,1.0,0.0,0.95,
2026:02:15T00:00:00,13,0,0,0,13,,,,1.0,
2026:02:15T12:00:00,16,1,0,2,13,1.0,0.6667,0.3333,0.875,3.0
2026:02:16T00:00:00,22,0,2,3,17,0.0,1.0,0.0,0.7727,1.5
2026:02:16T12:00:00,25,0,1,1,23,0.0,1.0,0.0,0.92,1.0
2026:02:17T00:00:00,25,0,1,3,21,0.0,1.0,0.0,0.84,3.0
2026:02:17T12:00:00,25,2,0,9,14,1.0,0.8182,0.1818,0.64,5.5
2026:02:18T00:00:00,25,1,0,15,9,1.0,0.9375,0.0625,0.4,16.0
2026:02:18T12:00:00,25,3,0,4,18,1.0,0.5714,0.4286,0.84,2.3333
2026:02:19T00:00:00,25,8,2,6,9,0.8,0.4286,0.5,0.68,1.4
2026:02:19T12:00:00,25,7,2,5,11,0.7778,0.4167,0.5,0.72,1.3333
2026:02:20T00:00:00,25,2,1,4,18,0.6667,0.6667,0.2857,0.8,2.0
2026:02:20T12:00:00,25,0,2,7,16,0.0,1.0,0.0,0.64,3.5
2026:02:21T00:00:00,25,2,0,12,11,1.0,0.8571,0.1429,0.52,7.0
2026:02:21T12:00:00,25,0,2,4,19,0.0,1.0,0.0,0.76,2.0
2026:02:22T00:00:00,25,1,2,10,12,0.3333,0.9091,0.0769,0.52,3.6667
2026:02:22T12:00:00,23,1,1,8,13,0.5,0.8889,0.1,0.6087,4.5
2026:02:23T00:00:00,11,0,0,4,7,,1.0,0.0,0.6364,
