issued_time,n_hours,mean_lead_hours,accumulated_obs_mm,accumulated_forecast_mm,difference_mm,ratio_fc_obs,abs_error_mm
2026:02:09T00:00:00,25,12.0,8.4,6.7,-1.7,0.7976,1.7
2026:02:09T12:00:00,25,12.0,1.2,59.9,58.7,49.9167,58.7
2026:02:10T00:00:00,25,12.0,2.4,76.9,74.5,32.0417,74.5
2026:02:10T12:00:00,25,12.0,9.6,54.4,44.8,5.6667,44.8
2026:02:11T00:00:00,25,12.0,8.4,44.3,35.9,5.2738,35.9
2026:02:11T12:00:00,25,12.0,3.6,23.66,20.06,6.5722,20.06
2026:02:12T00:00:00,25,12.0,30.0,18.0,-12.0,0.6,12.0
2026:02:12T12:00:00,20,9.8,27.6,2.6,-25.0,0.0942,25.0
2026:02:13T00:00:00,15,11.9,0.0,1.0,1.0,,1.0
2026:02:13T12:00:00,20,14.1,73.2,26.8,-46.4,0.3661,46.4
2026:02:14T00:00:00,25,12.0,73.2,13.0,-60.2,0.1776,60.2
2026:02:14T12:00:00,20,9.9,0.0,19.2,19.2,,19.2
2026:02:15T00:00:00,13,9.5,0.0,0.0,0.0,,0.0
2026:02:15T12:00:00,16,13.6,2.4,0.7,-1.7,0.2917,1.7
2026:02:16T00:00:00,22,13.2,3.6,4.7,1.1,1.3056,1.1
2026:02:16T12:00:00,25,12.0,1.2,0.1,-1.1,0.0833,1.1
2026:02:17T00:00:00,25,12.0,7.2,0.3,-6.9,0.0417,6.9
2026:02:17T12:00:00,25,12.0,22.8,39.7,16.9,1.7412,16.9
2026:02:18T00:00:00,25,12.0,15.6,22.8,7.2,1.4615,7.2
2026:02:18T12:00:00,25,12.0,30.0,13.9,-16.1,0.4633,16.1
2026:02:19T00:00:00,25,12.0,86.4,37.3,-49.1,0.4317,49.1
2026:02:19T12:00:00,25,12.0,64.8,3.2,-61.6,0.0494,61.6
2026:02:20T00:00:00,25,12.0,12.0,2.6,-9.4,0.2167,9.4
2026:02:20T12:00:00,25,12.0,9.6,11.9,2.3,1.2396,2.3
2026:02:21T00:00:00,25,12.0,9.6,24.5,14.9,2.5521,14.9
2026:02:21T12:00:00,25,12.0,3.6,1.2,-2.4,0.3333,2.4
2026:02:22T00:00:00,25,12.0,9.6,7.0,-2.6,0.7292,2.6
2026:02:22T12:00:00,23,11.0,7.2,9.5,2.3,1.3194,2.3
2026:02:23T00:00:00,11,5.0,0.0,3.4,3.4,,3.4
